HYBAS_ID,SUBBASIN_TYPE
4090645820,4
4090645830,3
4090647460,4
4090647670,3
4090650340,4
4090650380,3
4090650760,4
4090650770,3
4090651440,3
4090651550,4
4090653260,2
4090653640,3
4090653920,3
4090654120,4
4090654130,2
4090654140,2
4090655810,3
4090655890,4
4090658110,2
4090658120,2
4090658570,2
4090658770,3
4090660780,3
4090660790,3
4090662240,3
4090662250,3
4090667380,3
4090667390,3
4090667530,4
4090667540,2
4090667650,4
4090667660,3
4090668000,3
4090668240,2
4090668520,2
4090669930,4
4090669940,3
4090670260,3
4090670270,2
4090670350,3
4090670590,4
4090670690,3
4090670800,4
4090670880,4
4090670890,2
4090670900,2
4090671040,2
4090671050,3
4090671200,5
4090671290,4
4090671530,2
4090672830,2
4090673130,3
4090673260,2
4090673390,2
